"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.030874,-0.019858,-0.999326,-0.121773,-0.020644,-0.992343,-0.046,-0.02,-0.072,-0.037,-0.031,0.12,0,0,0.21,0,0,0,0,0,0,0,1.53,0,0.35,0.13,0.88,0
0.106548,-0.023662,-0.994026,-0.00547,-0.044337,-0.999002,0.051,-0.034,-0.109,-0.102,0.055,0,0,0,0.01,0,0,0,0,0,0,0.28,0.85,0.03,0,0.16,0.45,0
0.054599,0.062436,-0.996554,-0.106723,0.061847,-0.992363,-0.026,0.062,0.048,0.074,-0.013,0,0.13,1.02,0,0.21,0.61,0.12,0,0,1.23,0,0.07,0.09,0,0.03,0,0.05
0.491183,0.373038,-0.787135,0.49116,0.373033,-0.787152,0.558,0.443,-0.388,0.409,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001195,0.193199,-0.981159,-0.020524,0.202484,-0.979071,-0.01,0.199,0.149,0.08,-0.001,0.06,0.04,1.13,0,0,0.42,0,0,0,0.92,0,0.49,0,0,0.03,0.08,0.19
-0.014561,0.253973,-0.967102,-0.203917,0.180623,-0.962182,-0.113,0.222,0.139,0.088,0.009,0.2,0.07,0.96,0,0,0.38,0,0,0,1.55,0,0.09,0,0,0.59,0.23,0.17
-0.178906,0.046308,-0.982776,-0.368433,0.032262,-0.929094,-0.279,0.041,-0.129,0.323,0.089,0,0,0.64,0,0,1.03,0,0.02,0,0,0,0.53,0,0.1,0.28,0.24,0.39
0.020318,0.013699,-0.9997,-0.081991,-0.001136,-0.996632,-0.031,0.006,-0.076,0.023,-0.024,0,0,0.09,0,0,0.1,0,0,0,0,0.28,1.46,0.48,0,0.46,1.15,0.57
0.0489,0.169041,-0.984395,-0.087964,0.161826,-0.982891,-0.02,0.167,0.095,-0.008,0.023,0,0.02,0.05,0.02,0,0,0,0,0,0,0.17,0.2,0,0,0.71,0,0.01
0.039775,0.081435,-0.995885,-0.114975,0.059383,-0.991592,-0.038,0.071,-0.029,-0.02,-0.025,0,0,0,0.02,0,0.03,0,0,0,0,0.37,0.49,0,0.01,0.03,0.48,0
0.04634,0.038024,-0.998202,-0.099453,0.047048,-0.993929,-0.027,0.043,0.036,0.052,-0.031,0,0,0.94,0.15,0,0.03,0,0,0,0.06,0,0.29,0,0,0,0.01,0
0.073775,-0.046304,-0.996199,-0.106241,-0.09799,-0.9895,-0.016,-0.073,-0.162,-0.109,0.03,0,0,0,0,0,0.53,0,0,0,0,0,0.88,0.05,0.07,0.05,1.18,0
0.049982,-0.025354,-0.998428,-0.123309,-0.067276,-0.990085,-0.037,-0.047,-0.117,-0.068,0.05,0,0.1,0,0,0,0.21,0.05,0,0,0,0,0.6,0,0,0.03,0.14,0.12
