"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
-0.02699,-0.153476,-0.987784,-0.122235,-0.145301,-0.981808,-0.076,-0.151,-0.374,0.158,-0.053,1.63,0.27,0.61,0,0.55,2.96,0.41,0,0.06,0,1.33,1.91,0.21,0.12,0.11,0,0
0.161024,-0.590815,-0.790575,0.006516,-0.610183,-0.792234,0.105,-0.649,-0.935,-0.044,0.119,0.16,0,0,0,0,0.5,0,0,0,0,0,0.97,0,0,0.22,0.99,0
0.571885,-0.013129,-0.820229,0.425438,-0.142309,-0.893728,0.527,-0.09,-0.256,-0.416,0.136,0,0,0,0.14,0,0,0,0.71,0,0,0,0.18,0,0.04,0.64,0.46,0
0.598748,-0.047132,-0.79955,0.420184,-0.058827,-0.90553,0.539,-0.062,-0.195,-0.48,0.049,0.15,0,0,0,0,0,0,0.8,0,0,0.23,1.27,1.13,1.47,0,0.34,0
0.112187,0.226764,-0.967467,0.817128,0.213919,-0.535295,0.554,0.285,-0.035,-0.267,-0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.472515,-0.174471,-0.86388,0.3193,-0.111162,-0.941111,0.413,-0.157,-0.275,-0.395,-0.486,0,0,0.3,0.06,0,0,0,0,0,0,0,0,0,0,0.03,0.01,1.43
-0.321155,-0.088827,-0.942851,-0.470779,-0.066821,-0.879717,-0.41,-0.085,-0.244,0.445,0.102,0,0,0.47,0,0,0,0,0,0,0,0,1.32,0,1.12,0.27,0.66,0
0.67667,0.073845,-0.732574,0.503611,0.040743,-0.862969,0.637,0.072,-0.109,-0.612,0.109,0.05,0.27,0.08,0,0,0,0,1.28,0,0,0.07,0.91,0.32,0,0.14,0,0.46
0.109869,-0.077994,-0.990881,-0.092412,-0.090076,-0.991638,0.009,-0.085,-0.303,0,0.047,0,0,0,0,0.25,2,0,0,0,0,0.05,0.08,0,0.93,0.19,0.3,0.98
0.102115,-0.069029,-0.992375,-0.06258,-0.087041,-0.994237,0.02,-0.078,-0.316,0.004,0.077,1.61,0,1.26,0,0.77,2.09,0.82,0.25,0.13,0,0.8,0.11,0.96,0,2.04,0.35,0
-0.015512,-0.109184,-0.9939,-0.190846,-0.117273,-0.97459,-0.104,-0.115,-0.319,0.07,0.06,0.91,0.09,0.15,0.12,0,0.92,0.06,0,0,0,0.31,0.1,1.09,0.04,0.31,1.26,1.54
0.604688,-0.152955,-0.781637,0.429199,-0.233755,-0.872438,0.559,-0.23,-0.313,-0.392,-0.047,0.29,0.25,0,0,0,0,0.2,0,0,0,0,0.45,0,0,0.84,0,0
0.080738,-0.008729,-0.996697,-0.102282,-0.003905,-0.994748,-0.011,-0.006,-0.126,0.064,-0.016,0.25,0,0.31,0,0,0.24,0.06,0,0,0,0.05,0.27,0.01,0,0.31,0.06,0.67
0.092588,-0.068283,-0.99336,-0.085539,-0.061469,-0.994437,0.004,-0.065,-0.183,0.057,-0.039,0.35,0.03,0.1,0,0,0.51,0.05,0,0,0,0.41,0,0.04,0,0.01,0,0
0.436164,-0.075881,-0.896662,0.305177,-0.107928,-0.94616,0.382,-0.099,-0.258,-0.423,0.004,1.41,0,0.67,0,0.02,0,0,0.83,0.27,0,1.47,0.87,0,0,0.79,0.79,0.2
0.552916,-0.15216,-0.819226,0.373887,-0.288441,-0.881482,0.499,-0.253,-0.358,-0.325,0.092,0.1,0.22,0,0.17,0,0,0.04,0,0,0,0,0,0.3,0,0.45,0,0
0.044291,-0.030473,-0.998554,-0.127699,-0.069678,-0.989362,-0.042,-0.05,-0.126,-0.069,0.052,0.04,0.02,0,0,0,0.39,0,0,0,0,0.01,0.56,0,0.03,0.05,0,0
0.013602,-0.006398,-0.999887,-0.167168,-0.050691,-0.984624,-0.077,-0.029,-0.109,0.042,0.009,0,0.02,0.01,0.23,0,0.61,0.03,0,0,0,0.01,0.63,0,0.37,0.38,1.24,0
0.038429,-0.278689,-0.959612,-0.115978,-0.211055,-0.970569,-0.04,-0.248,-0.492,0.096,-0.065,0.87,0.03,0,0,0.1,1.49,0.47,0.64,0,0,0.01,2.77,0.09,0.94,0,1.35,0
0.517797,-0.096337,-0.850062,0.317247,-0.196845,-0.927689,0.439,-0.163,-0.361,-0.258,0.06,0.48,0.03,0,0,0,0.04,0,0,0,0,0.08,0.05,0,0,0.48,0.69,0
0.528993,0.029115,-0.848127,0.429262,-0.007998,-0.903145,0.501,0.012,-0.207,-0.46,0.266,0,0,0,0,0,0.22,0,0.39,0,0,0.61,2.36,1,0,0,1.7,0
-0.05417,0.023898,-0.998246,-0.240343,0.079679,-0.967412,-0.149,0.053,-0.053,0.086,-0.271,0,0,0.07,0,0,0,0,0,0,0,0,0.56,0,0.25,0.63,0,0
0.073813,-0.051757,-0.995928,-0.10209,-0.088754,-0.990808,-0.014,-0.071,-0.157,-0.109,0.028,0,0,0,0.08,0,0.51,0,0,0,0,0.1,0.96,0,0.13,0.06,1,0
0.576808,-0.044913,-0.815644,0.420748,-0.148444,-0.89495,0.528,-0.113,-0.259,-0.421,0.134,0,0,0,0.24,0,0,0,0.88,0,0,0,0.33,0.14,0.03,0.72,0.38,0
0.184068,-0.920142,-0.345628,-0.019462,-0.958777,-0.283491,0.256,-1.248,-1.785,-0.382,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.029246,-0.252649,-0.967116,-0.119565,-0.30978,-0.943261,-0.047,-0.286,-0.484,-0.03,0.158,0.7,0,0,0.21,0,1.63,0,0,0,0,0,2.26,0.12,0,0,0,0
0.449051,-0.058654,-0.891579,0.338349,-0.10724,-0.93489,0.407,-0.091,-0.288,-0.492,-0.194,0,0.01,0.03,0,0,0.23,0,0,0,0,0.66,0.52,0,0,1.38,0.01,0.33
0.045615,0.212902,-0.976008,-0.093076,0.209172,-0.973439,-0.024,0.213,0.169,0.012,0.022,0,0,0.27,0,0,0.12,0,0,0,0,0,0.59,0,0,0.28,0.25,0.59
0.077288,-0.058863,-0.99527,-0.101039,-0.12171,-0.98741,-0.012,-0.091,-0.179,-0.102,0.023,0.06,0,0,0,0,0.57,0,0,0,0,0,0.57,0.36,0.13,0.03,0.9,0.09
0.52444,-0.02467,-0.85109,0.377627,-0.041394,-0.925032,0.47,-0.037,-0.112,-0.569,0.001,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0.65,0.83,0
0.148897,0.140077,-0.978881,-0.081695,0.135307,-0.98743,0.034,0.139,-0.119,0.077,0.137,0,0.13,0,0.41,0,0.7,0,0,0,0,0,0.46,0,0.62,0.18,0.07,0
0.200566,-0.117314,-0.972631,0.06913,-0.218676,-0.973346,0.138,-0.171,-0.364,-0.223,0.616,0.08,0,0.14,0.44,0,1.11,0.04,0,0,0,0.18,1.98,0,0,0,0,0.45
0.559997,-0.024317,-0.828138,0.398895,-0.155278,-0.903754,0.506,-0.103,-0.255,-0.388,0.108,0,0,0,0.34,0,0,0,0.59,0,0,0,0.05,0.22,0,0.59,0.31,0
0.573911,0.057175,-0.816919,0.452262,-0.073822,-0.888825,0.542,-0.01,-0.183,-0.472,0.184,0,0,0,0,0,0,0,0.57,0,0,0.15,1.08,0,0,0.03,0.59,0.2
-0.016891,-0.013533,-0.999766,-0.190526,-0.050523,-0.980381,-0.104,-0.032,-0.105,0.053,-0.013,0,0.07,0,0,0,0.6,0,0,0,0,0,0.62,0,0,0.31,0.64,0.07
0.011119,-0.064828,-0.997835,-0.153789,-0.040934,-0.987255,-0.072,-0.053,-0.233,0.04,0.014,0.24,0,0,0,0,0.72,0,0,0,0,0.01,0.01,1.16,0,0.24,1.02,0.68
0.452451,0.014332,-0.891674,0.29928,-0.001784,-0.954164,0.387,0.007,-0.096,-0.45,0.005,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.5,0.34,0.04
0.014668,-0.06649,-0.997679,-0.117308,-0.0732,-0.990394,-0.052,-0.07,-0.094,-0.008,-0.042,0,0,0,0,0,0,0,0,0,0,0.03,1.08,0,0.21,0,0.9,0
-0.32167,0.005839,-0.946834,-0.504541,0.033304,-0.862745,-0.428,0.022,-0.186,0.47,0.135,0,0,0.52,0,0,0,0,0,0,0,0,0.59,0,0.96,0.63,0.93,0.09
0.244182,0.041653,-0.968834,0.005056,0.016131,-0.999857,0.126,0.029,-0.166,-0.074,0.071,0.27,0,0.4,0,1.17,2.95,0.09,0.4,0.81,0,0.91,0.19,1.2,0,1.92,0.97,0
0.394541,-0.218342,-0.89256,0.256046,-0.172144,-0.951213,0.339,-0.209,-0.366,-0.315,-0.515,0.75,0,0.44,0,0,0,0,0,0,0,0.02,0,0.05,0,0.98,0.85,0.51
-0.091956,-0.120826,-0.988405,-0.337825,-0.166589,-0.926349,-0.221,-0.149,-0.359,0.272,0.076,0.22,0,0,0,0,0.41,0,0,0,0,0,2.2,0,0.53,0,0.65,0.05
0.179173,-0.115154,-0.977055,-0.010816,-0.145934,-0.989235,0.085,-0.132,-0.16,-0.131,0.055,0,0,0,0.24,0,0,0,0,0,0,0,0.67,0.12,0.35,0,1.05,0
-0.038791,-0.028518,-0.99884,-0.204269,-0.08213,-0.975463,-0.122,-0.056,-0.143,-0.006,-0.02,0.34,0.01,0,0.09,0,0,0,0,0,0,0,1.31,0,0.21,0,0.57,0.03
0.046918,0.012206,-0.998824,-0.164674,-0.017452,-0.986194,-0.059,-0.003,-0.055,0.02,0.031,0,0.08,0.03,0.09,0,0.27,0,0,0,0,0.08,0.14,0,0.16,0,0.06,0.03
0.094612,-0.013061,-0.995429,-0.056965,-0.014119,-0.998276,0.019,-0.014,-0.112,0.002,-0.005,0.17,0,1.71,0.03,0,1.28,0.5,0,0,0,0,0.33,0.6,0.72,0,0.17,0.31
0.040715,0.078052,-0.996118,-0.108221,0.099621,-0.989123,-0.034,0.089,-0.028,-0.023,-0.024,0,0,0,0,0,0,0,0,0,0,0.42,1.23,0.08,0.04,0,0.89,0
0.386105,-0.058831,-0.920577,0.235029,-0.039435,-0.971188,0.317,-0.052,-0.342,-0.199,-0.01,0.06,0,0,0,0.41,2.19,0,0,0.18,0.44,0,0.63,0.06,0.68,0,0.21,0
0.079327,0.126632,-0.988773,-0.062943,0.087621,-0.994163,0.008,0.108,0.067,-0.101,0.049,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.59,0,0.01
0.038747,0.130187,-0.990732,-0.071193,0.093792,-0.993043,-0.016,0.112,-0.021,-0.043,-0.01,0,0,0.07,0.02,0,0.11,0,0,0,0,0.22,0,0,0,0.5,0,0
0.663388,0.081384,-0.743836,0.502607,0.04502,-0.863342,0.628,0.078,-0.108,-0.612,0.112,0.18,0.38,0.2,0,0,0,0.02,1.27,0,0,0.25,0.64,0.04,0,0.37,0.04,0.63
0.084288,0.001452,-0.99644,-0.094329,0.006507,-0.99552,-0.005,0.004,-0.095,0.053,-0.013,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.09,0.05,0.02
0.088509,0.023586,-0.995796,-0.088386,0.030807,-0.99561,0,0.027,-0.059,0.048,-0.02,0,0.06,0.11,0,0,0.08,0.04,0,0,0,0.03,0.13,0,0,0.28,0,0.06
-0.093377,-0.030042,-0.995178,-0.235356,-0.073172,-0.969151,-0.166,-0.052,-0.229,0.202,-0.067,0,0,0,0.01,0,0.31,0,0,0,0,0,1.22,0.09,1.37,0.56,0,1.45
0.156293,-0.049235,-0.986483,0.001616,-0.073469,-0.997296,0.079,-0.062,-0.081,-0.12,0.099,0.05,0,0,0,0,0.38,0,0,0,0,0.11,0.6,0,0,0.01,0.44,0.01
-0.012618,-0.010342,-0.999867,-0.174418,-0.055366,-0.983114,-0.094,-0.033,-0.083,0.027,0.078,0.07,0.25,0,0.08,0,0.28,0,0,0,0,0,0.02,0,0,0.38,0.01,0.01
-0.048763,-0.111793,-0.992534,-0.139983,-0.178213,-0.973984,-0.096,-0.146,-0.353,-0.013,0.5,0.42,0,0.14,0.01,0,2.1,0.09,0,0,0,0,0.67,0,0,0.72,0.86,0
-0.043771,0.066181,-0.996847,-0.181913,0.143058,-0.972853,-0.114,0.106,0.008,0.293,-0.291,0,0,0.31,0,0,0.91,0.14,0.41,0,0,0,1.26,0,2,0,0.3,0.29
0.268976,-0.034911,-0.962514,0.146836,-0.054598,-0.987653,0.21,-0.046,-0.305,-0.104,0.126,0.71,0,0,0,0,0.94,0,0,0,0,0.01,0.47,0,0.17,0.23,0.16,0.04
0.153047,0.101768,-0.982965,-0.007388,0.099459,-0.995014,0.074,0.101,0.065,-0.078,0.035,0,0.11,0,0.14,0,0,0,0,0,0,0.11,0,0,0,0.53,0,0
0.020459,-0.007442,-0.999763,-0.151611,-0.035129,-0.987816,-0.066,-0.021,-0.07,0.011,0.064,0,0,0,0,0,0.45,0,0,0,0,0,0.6,0,0,0.32,0.23,0.23
0.523981,0.017925,-0.851541,0.380881,0.036878,-0.923889,0.471,0.031,-0.186,-0.518,0.016,0.39,1.23,0.23,0,0,0,0,0.27,0,0,0.48,0.04,0,0,0,0.37,1.09
0.007678,0.408023,-0.912939,-0.185407,0.285232,-0.940355,-0.096,0.358,0.405,0.332,-0.142,0,0,0.32,0,0,1.54,0.45,0,0,0,0,1.04,0,1.23,1.46,0,1.28
0.096374,-0.008137,-0.995312,-0.059256,-0.013001,-0.998158,0.019,-0.011,-0.104,-0.006,0.033,0.04,0,1.4,0.08,0,1.29,0.82,0,0,0,0,0.04,0.08,0.17,0,0,0
0.083782,-0.003684,-0.996477,-0.08914,0.002524,-0.996016,-0.003,-0.001,-0.084,0.052,-0.018,0,0,0.16,0,0,0.04,0.01,0,0,0,0.23,0.2,0.13,0,0.09,0,0
0.087679,-0.021356,-0.99592,-0.101168,-0.056985,-0.993236,-0.007,-0.039,-0.13,-0.117,0.041,0,0,0,0,0,0.52,0,0,0,0,0,0.74,0,0,0.07,1.02,0
0.653083,-0.16442,-0.739222,0.426113,-0.233634,-0.873981,0.59,-0.242,-0.28,-0.503,-0.019,0,0,0,0,0,0,0.23,1.19,0,0,0,0.54,0.24,0,0.64,0,0
0.037339,0.005508,-0.999287,-0.113721,0.010761,-0.993454,-0.038,0.008,-0.051,-0.027,-0.044,0.05,0.04,0,0.07,0,0,0,0,0,0,0.26,1.13,0.04,0.5,0,0.73,0
0.097714,-0.021756,-0.994977,-0.058289,-0.027156,-0.99793,0.02,-0.025,-0.118,-0.01,0.044,0.07,0,0.41,0.01,0,0.88,0.49,0,0,0,0,0,0.03,0.17,0.03,0,0
0.502285,0.028177,-0.864243,0.375357,-0.101203,-0.921339,0.457,-0.041,-0.235,-0.358,0.12,0,0.09,0.43,0.08,0,1.63,0.03,0.5,0,0,0,0,0.84,0.1,0,2.23,0
-0.163277,0.323926,-0.931887,-0.517647,0.315317,-0.795372,-0.376,0.354,0.095,0.365,0.116,0,0.35,0,0,0,0.27,0.67,0,0,0,0,0.65,0,0,1.04,0,2.01
0.083119,-0.000585,-0.996539,-0.090732,0.00614,-0.995856,-0.004,0.003,-0.081,0.055,-0.02,0,0.07,0.05,0,0,0,0.07,0,0,0,0.06,0.12,0,0,0.2,0.11,0
0.495069,0.153168,-0.855246,0.381766,0.1198,-0.916462,0.46,0.153,-0.014,-0.613,-0.029,0,0,0,0,1.18,2.65,0.87,0.64,0,0.73,0.22,1.14,0.21,0,0.3,0,0.07
0.574932,-0.052003,-0.816547,0.401526,-0.167519,-0.900397,0.517,-0.127,-0.264,-0.41,0.132,0,0,0,0,0,0,0.03,0.78,0,0,0,0.14,0.03,0,0.75,0.46,0
0.106247,-0.034006,-0.993758,-0.011049,-0.064977,-0.997826,0.048,-0.05,-0.123,-0.107,0.054,0,0.13,0,0,0,0,0,0,0,0,0,0.79,0,0,0.38,0.53,0.03
0.047388,-0.030052,-0.998424,-0.124048,-0.072532,-0.989622,-0.039,-0.052,-0.12,-0.068,0.05,0,0,0,0,0,0.18,0,0,0,0,0,0.69,0,0,0.03,0.03,0.01
0.491183,0.373038,-0.787135,0.49116,0.373033,-0.787152,0.558,0.443,-0.388,0.409,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.083768,-0.00503,-0.996473,-0.091171,0.000934,-0.995835,-0.004,-0.002,-0.09,0.052,-0.016,0,0.06,0,0,0,0,0,0,0,0,0,0.1,0.01,0,0.2,0.02,0
0.026798,0.009743,-0.999593,-0.085107,0.009912,-0.996323,-0.029,0.01,-0.093,-0.01,-0.047,0.34,0.15,0.09,0,0,0,0,0,0,0,0.05,1.18,0,0.05,0,0.75,0.08
0.127998,0.006168,-0.991755,-0.05685,-0.061279,-0.9965,0.036,-0.028,-0.304,-0.045,0.018,0.1,0.23,0.04,0,0.59,2.13,0,0,0,0,0,0,0,0.02,0.09,0.92,2.69
0.525203,-0.083529,-0.846868,0.374305,-0.114256,-0.92024,0.471,-0.111,-0.262,-0.394,0.11,0,0,0,0.07,0,0,0.13,0.54,0,0,0,0,0.23,0,0.52,0.2,0
0.063177,-0.069559,-0.995575,-0.109697,-0.104717,-0.988433,-0.023,-0.088,-0.169,-0.039,0.052,0.19,0.37,0,0,0,1.18,0,0,0,0,0,0,0.01,0.26,0.2,0,0.37
0.581761,-0.086419,-0.808756,0.394131,-0.18893,-0.899425,0.519,-0.16,-0.273,-0.375,0.099,0,0,0,0,0,0,0.06,0.35,0,0,0,0.01,0.32,0,0.59,0.03,0.08
0.017788,-0.014931,-0.99973,-0.17678,-0.041495,-0.983375,-0.08,-0.028,-0.103,0.048,0.025,0,0,0,0.23,0,0.58,0,0,0,0,0.01,0.15,0.07,0.33,0.46,1.07,0
0.029343,0.172186,-0.984627,-0.101834,0.140734,-0.984796,-0.037,0.158,0.079,0.005,0.05,0.34,0.58,0,0,0,0,0,0,0,0,0,0.01,0,0,0.55,0.04,0.13
0.579131,-0.087461,-0.81053,0.498625,-0.179302,-0.848071,0.576,-0.159,-0.502,-0.836,0.123,0,0,0,0,1.64,2.04,0,1.77,0.87,0,0.03,1.79,1.28,0,1.95,0,0.11
0.080953,-0.021512,-0.996486,-0.097395,-0.016468,-0.99511,-0.008,-0.019,-0.124,0.06,-0.016,0.14,0,0.11,0,0,0.01,0.15,0,0,0,0.17,0.16,0.11,0,0.14,0,0
