"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.082338,-0.005359,-0.99659,-0.091775,0.000585,-0.99578,-0.005,-0.002,-0.088,0.054,-0.018,0.01,0.08,0.07,0,0,0,0,0,0,0,0.13,0.18,0.01,0,0,0,0
-0.062753,-0.277838,-0.958576,-0.235922,-0.284775,-0.929109,-0.157,-0.29,-0.515,0.115,-0.146,0.67,1.28,0,0.02,0,0.51,0,0,0,0,1.34,3.39,0,0.22,0,0.49,0
-0.188017,0.147928,-0.970962,-0.515952,0.101304,-0.850606,-0.369,0.136,-0.159,0.406,0.336,0,0,0.4,0,0,0,0.09,0,0,0,0.04,0.85,0,0,0.81,0,2.17
0.21818,-0.121986,-0.968255,0.089602,-0.225822,-0.970039,0.157,-0.178,-0.357,-0.241,0.628,0.04,0,0.06,0.14,0,1.14,0.03,0,0,0,0.16,1.88,0,0,0.04,0.05,0
0.206764,-0.062707,-0.976379,0.018152,-0.072746,-0.997185,0.113,-0.069,-0.087,-0.032,-0.021,0,0,0,0.1,0,0,0,0,0,0,0.08,0.62,0.07,0.08,0.43,0.74,0.13
0.225732,-0.060414,-0.972314,0.018772,-0.056347,-0.998235,0.123,-0.059,-0.081,-0.034,-0.024,0,0.01,0,0.03,0,0,0,0,0,0,0.07,0.65,0,0,0.54,0.88,0.05
0.421731,-0.215151,-0.880825,0.276314,-0.169875,-0.945935,0.365,-0.208,-0.374,-0.352,-0.459,0.79,0,0.46,0.08,0,0,0,0,0,0,0.25,0,0.17,0,1.52,0.47,0.75
0.093931,0.176799,-0.979755,-0.149294,0.401307,-0.903695,-0.029,0.298,0.216,0.307,-0.36,0,0,1.39,0,0,0,0.02,0,0,0,0,0.89,0,1.84,0,0.54,2.18
-0.01333,0.201541,-0.979389,-0.142462,0.156757,-0.977309,-0.079,0.181,0.127,0.15,0.061,0.08,0,1.05,0,0,0.73,0,0,0,0.45,0.2,0.18,0.02,0.21,0.21,0.38,1.14
0.051985,0.048342,-0.997477,-0.100022,0.049844,-0.993736,-0.024,0.049,0.047,0.067,-0.005,0,0,0.79,0,0.3,0.8,0.14,0,0,1.45,0,0,0,0,0,0,0
0.290421,-0.081268,-0.953442,0.132121,-0.062046,-0.98929,0.214,-0.074,-0.163,-0.226,-0.184,0.94,0,0.61,0,0.32,0.25,0,0.7,0.65,0.11,0,0,0.37,0,2.08,0.48,0
0.059948,0.062908,-0.996217,-0.100295,0.061681,-0.993044,-0.02,0.063,0.047,0.062,-0.011,0,0,0.95,0,0.45,0.77,0.14,0,0.39,1.65,0,0,0.17,0,0.13,0,0.02
-0.215425,-0.100328,-0.971353,-0.466676,-0.104006,-0.878292,-0.353,-0.11,-0.309,0.414,0.11,0.21,0,0.17,0,0,0.11,0,0.14,0,0,0,2.07,0,0.78,0,0.79,0.15
0.353796,-0.041703,-0.934393,0.204253,-0.074493,-0.97608,0.284,-0.061,-0.136,-0.353,0.095,0.24,0,2.8,0,1.01,1.77,0.78,1.98,0,0.07,0,0,0.29,0,2.77,2.21,0
0.039873,0.157381,-0.986733,-0.028689,0.172392,-0.984611,0.006,0.166,0.162,0.083,0.028,0,0,0.16,0,0.14,0.3,0,0,0.36,1.94,0,0.34,0.02,0.5,0.62,0.62,0
0.098537,-0.00356,-0.995127,-0.055996,-0.007582,-0.998402,0.021,-0.006,-0.099,-0.011,0.029,0.08,0,1.28,0.04,0,1.24,0.76,0,0,0,0,0.05,0.13,0.28,0,0,0.01
0.140182,0.058398,-0.988402,-0.019031,0.052316,-0.998449,0.061,0.056,-0.014,-0.064,0.049,0.36,0.11,0,0.02,0,0,0.11,0,0,0,0.18,0,0,0,0.69,0,0.14
0.078633,-0.042267,-0.996007,-0.106409,-0.091755,-0.99008,-0.014,-0.067,-0.139,-0.115,0.042,0,0,0,0,0,0.53,0,0,0,0,0,0.72,0,0.21,0.04,1.21,0
0.391926,-0.00271,-0.919993,0.263874,-0.058741,-0.962767,0.335,-0.033,-0.135,-0.444,0.214,2.96,0.42,1.42,0,0,0,0,0.99,0,0,0,0,0,0,1.96,1.23,0.32
-0.358244,-0.196156,-0.912789,-0.573693,-0.193859,-0.795798,-0.499,-0.224,-0.395,0.497,0.127,1.11,0,0.7,0,0,0.8,0,0,0,0.04,0,2.02,0.03,1.31,0,1.2,0.18
0.193853,-0.034249,-0.980433,-0.044179,-0.034972,-0.998411,0.075,-0.035,-0.099,-0.016,-0.014,0.03,0,0,0.14,0,0.21,0,0,0,0,0,0.59,0,0.28,0.37,0.58,0.01
-0.007076,0.218082,-0.975905,-0.157336,0.174559,-0.971995,-0.084,0.199,0.156,0.083,-0.016,0.04,0,1.21,0,0,0.8,0,0,0,1.01,0,0.33,0,0,0.12,0.01,0
0.158626,-0.054248,-0.985847,0.012147,-0.101869,-0.994724,0.086,-0.079,-0.152,-0.103,0.066,0.38,0,0,0,0,0.11,0.26,0,0,0,0,0.2,0.11,0,0,0.11,0
0.089078,-0.000712,-0.996024,-0.092031,0.005394,-0.995742,-0.001,0.002,-0.104,0.051,-0.019,0.03,0.04,0.19,0,0,0.15,0.02,0,0,0,0.22,0.04,0.02,0,0.26,0.01,0.02
0.457555,-0.035351,-0.888479,0.322168,-0.048154,-0.945457,0.402,-0.046,-0.121,-0.48,-0.064,0.65,0,2.75,0,0.07,0.22,0.05,1.17,0,0,1.2,0.04,0,0,0.32,0.1,0
0.213272,-0.129287,-0.968401,0.084266,-0.232607,-0.968913,0.152,-0.185,-0.367,-0.236,0.629,0.1,0,0.04,0.4,0,0.97,0.13,0,0,0,0.16,2.11,0,0,0,0,0
0.072286,0.060717,-0.995534,-0.072395,0.030487,-0.99691,0,0.046,-0.02,-0.012,0.243,0,0,0,0.17,0,0.96,0.59,0,0,0,0.23,0.36,0.02,0,0.86,0.75,0
0.090581,-0.03547,-0.995257,-0.001289,-0.070105,-0.997539,0.045,-0.053,-0.13,-0.089,0.056,0.01,0,0,0,0,0.32,0,0,0,0,0.07,0.73,0,0.02,0.23,0.47,0.04
0.160006,0.07261,-0.984442,0.024546,0.018737,-0.999523,0.093,0.046,-0.12,-0.101,0.053,0,0.02,0.11,0,0,0.58,0.09,0,0,0,0.13,1.14,0.06,0,0.14,0.55,1.48
0.050627,0.01368,-0.998624,-0.110321,0.020825,-0.993678,-0.03,0.017,-0.043,0.082,-0.033,0.34,0.09,0.58,0,0,0.23,0.21,0,0,0,0.39,0.09,0,0,0.13,0.22,0.28
0.08247,-0.006421,-0.996573,-0.092622,-0.000818,-0.995701,-0.005,-0.004,-0.093,0.054,-0.016,0.02,0,0.06,0,0,0,0.01,0,0,0,0.04,0,0,0,0.08,0,0
-0.011129,0.012681,-0.999858,-0.142225,-0.074162,-0.987052,-0.077,-0.031,-0.258,0.078,0.42,0.52,0,0.87,0.57,0.41,1.77,0,0.48,0.12,0,0,0.51,0,0,3.71,3.57,0.28
0.101578,-0.03783,-0.994108,0.000737,-0.059406,-0.998234,0.051,-0.049,-0.125,-0.1,0.049,0.04,0,0,0,0,0.07,0,0,0,0,0,0.59,0.19,0.01,0.04,0.18,0
0.134997,0.03993,-0.990041,-0.014667,0.033596,-0.999328,0.06,0.037,-0.046,-0.065,0.082,0,0,0,0,0,1.08,0.32,0,0,0,0.18,0.42,0.47,0.02,0.34,0.38,0
0.18704,-0.651608,-0.735134,-0.009079,-0.714199,-0.699884,0.123,-0.761,-1.118,-0.057,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.557743,-0.086627,-0.825481,0.418327,-0.122085,-0.900054,0.515,-0.12,-0.276,-0.435,0.079,0,0,0,0,0,0,0,0.6,0,0,0.82,1.64,0.96,0,0,0.22,0
0.04491,0.024062,-0.998701,-0.105593,0.031571,-0.993908,-0.03,0.028,0.009,0.071,-0.015,0,0,0.72,0,0,0,0.05,0,0,0,0,0.32,0,0,0.06,0.07,0
0.073483,-0.085485,-0.993626,-0.118532,-0.133207,-0.983975,-0.023,-0.11,-0.128,-0.146,0.046,0,0,0,0.4,0,0,0,0,0,0,0,0.46,0.06,0.37,0,1.18,0
0.11304,-0.112083,-0.987248,-0.070824,-0.145909,-0.98676,0.021,-0.13,-0.222,-0.03,0.045,0.36,0,0,0,0,1.71,0,0,0,0,0,0,0.17,0.26,0.21,0.01,0.02
0.142434,-0.243873,-0.959291,-0.044154,-0.204852,-0.977796,0.051,-0.228,-0.423,-0.02,-0.038,0.16,0.03,0.28,0,0.18,3.08,1.11,0.06,0.03,0,0.71,1.29,0,1.17,0.63,0.17,0
-0.061184,-0.170738,-0.983415,-0.197752,-0.200778,-0.95947,-0.132,-0.189,-0.409,0.06,-0.138,2.72,1.29,0,0.31,0,0,0,0,0,0,0.5,0.47,0,0,0.74,0,0
0.465433,-0.01815,-0.884897,0.318119,-0.024544,-0.947733,0.404,-0.023,-0.147,-0.464,-0.114,1.38,0,0.89,0,0.93,0.06,0,1.45,0.97,0.05,0.01,0,0,0,1.53,0.67,0.65
0.048952,0.037862,-0.998083,-0.096803,0.047349,-0.994177,-0.024,0.043,0.036,0.051,-0.026,0.01,0,1.02,0.04,0,0.05,0,0,0,0.12,0.11,0.08,0,0,0.12,0.08,0
0.057088,-0.240541,-0.968959,-0.112632,-0.182346,-0.976762,-0.029,-0.214,-0.436,0.121,-0.264,0.24,0.47,0,0,1.14,0.68,0.12,0.6,0.91,0,1.34,1.28,0.05,0.29,1.01,0,0
0.030945,0.048354,-0.998351,-0.109109,0.057149,-0.992386,-0.039,0.053,0.063,0.069,-0.01,0.1,0,0.62,0.44,0,0,0,0,0,0.35,0.3,0.56,0,0,0.08,0.07,0
0.134213,-0.159927,-0.977962,-0.069834,-0.127086,-0.98943,0.033,-0.145,-0.304,0.022,-0.041,0.49,0.07,0,0.05,0,0.1,0.3,0,0,0,1.08,1.7,0.34,0.09,0.09,0,0
