"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.083941,0.006334,-0.996451,-0.08923,0.013005,-0.995926,-0.003,0.01,-0.071,0.053,-0.02,0,0,0.05,0,0,0,0,0,0,0,0.05,0.27,0.02,0,0.23,0.05,0
0.138698,0.070977,-0.987788,-0.033221,0.009862,-0.999399,0.053,0.041,-0.13,-0.114,0.036,0,0,0,0,0,0.91,0.06,0,0,0,0.02,0.8,0.14,0,0,1.04,0.83
0.065821,-0.111507,-0.991581,-0.033256,-0.10628,-0.99378,0.016,-0.109,-0.286,-0.062,0.005,0.01,0,0,0,0,1.4,0,0,0,0,0.02,0.84,0,0,0,0.76,0
0.08541,0.100056,-0.991309,-0.062925,0.108269,-0.992128,0.011,0.105,-0.023,-0.036,0.028,0,0.04,0.22,0,0,0.89,0.02,0,0,0,0.23,1.03,0.28,0,0,0.47,0
0.055788,-0.025633,-0.998114,-0.119905,-0.064766,-0.990671,-0.032,-0.045,-0.323,0.018,0.111,1.02,0,0,0,0,1.26,0,0,0,0,0.04,0.41,0.92,0,0,0,1.53
0.082134,-0.189523,-0.978435,-0.050357,-0.229929,-0.971904,0.016,-0.212,-0.239,-0.092,-0.007,0,0,0,0,0,0,0,0,0,0,0.55,0.17,0,0,0.27,0,0
-0.31373,-0.025342,-0.949174,-0.461251,-0.056336,-0.88548,-0.4,-0.044,-0.194,0.383,0.174,0,0,0.4,0,0,0.36,0,0,0,0,0,1.37,0,0.47,0.6,0.63,0
0.499994,0.264615,-0.824612,0.378072,0.204458,-0.902917,0.47,0.265,0.187,-0.7,0.313,0,0,0.03,0,1.94,2.21,0,2.71,0.49,0,3.04,1.9,0.01,0.45,1.51,0,0.22
0.412869,0.058394,-0.908917,0.296043,0.002433,-0.955172,0.363,0.033,-0.041,-0.474,0.26,3.11,0.19,1.44,0,0,0,0,1.81,0,0,0,0,0,0,1.61,1.45,0.09
0.10018,-0.03517,-0.994348,-0.010572,-0.063569,-0.997921,0.045,-0.05,-0.131,-0.085,0.055,0,0.01,0,0,0,0.03,0.01,0,0,0,0.03,0.63,0.01,0.07,0.06,0.26,0
0.080463,-0.087308,-0.992926,-0.019149,-0.084623,-0.996229,0.031,-0.086,-0.216,-0.07,0.039,0.06,0,0,0.14,0,0.75,0,0,0,0,0.14,1.15,0.06,0,0.75,0.6,0
0.019478,-0.149247,-0.988608,-0.063502,-0.12872,-0.989646,-0.022,-0.14,-0.31,-0.049,0.02,0.37,0,0,0,0,1.33,0,0,0,0,0.25,0.99,0,0.01,0.25,1.17,0.04
-0.050599,-0.054604,-0.997225,-0.163043,-0.120925,-0.97918,-0.108,-0.089,-0.266,0.055,0.378,0.23,0,0.54,0.51,0.02,2.34,0,0,0,0,0,1.06,0,0,3.03,3.92,0.09
0.083311,-0.004672,-0.996513,-0.090354,0.001488,-0.995909,-0.004,-0.002,-0.086,0.052,-0.017,0.06,0.28,0.01,0,0,0,0,0,0,0,0.16,0.12,0,0,0.11,0,0
0.03699,0.385466,-0.92198,-0.181979,0.44443,-0.877135,-0.08,0.432,0.434,0.226,-0.164,0,0,0,0,0,0.57,0.7,0,0,0,0,1.45,0,2.11,0.4,0.41,0
