"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.161179,0.164019,-0.9732,-0.005165,0.169334,-0.985545,0.079,0.169,0.155,-0.09,0.022,0,0.19,0,0.28,0,0,0,0,0,0,0.03,0.04,0,0.3,0.36,0,0
0.026678,0.164335,-0.986044,-0.026152,0.174561,-0.984299,0,0.17,0.152,0.059,0.015,0.17,0.06,0.69,0,0,0.26,0,0,0,0.58,0.17,0.69,0,0,0,0.68,0
0.046186,0.036012,-0.998284,-0.114662,0.039789,-0.992607,-0.034,0.038,0.005,0.087,-0.015,0.18,0,0.94,0,0,0,0.06,0,0,0,0,0.03,0,0,0.4,0.06,0
0.053449,0.192155,-0.979908,-0.073308,0.204594,-0.976098,-0.01,0.2,0.176,-0.009,0.031,0,0,0.01,0,0,0,0,0,0,0,0,0.42,0,0,0.19,0.18,0.07
0.02245,0.001623,-0.999747,-0.090633,-0.023297,-0.995612,-0.034,-0.011,-0.147,0.001,-0.017,0.65,0.14,0,0,0,0,0,0,0,0,0.06,0.9,0,0,0.1,0.85,0.78
-0.008329,0.063181,-0.997967,-0.160738,0.063864,-0.984929,-0.085,0.064,0.08,0.123,0.053,0,0,0.97,0.09,0,0.23,0,0,0,0.18,0,0.42,0.17,0.36,0.27,0.18,0
0.074468,0.0865,-0.993465,-0.092029,0.09206,-0.991492,-0.009,0.09,0.08,0.047,-0.025,0,0,0.69,0,0.97,1.26,0.4,0,1,1.71,0,0.08,0.27,0,0,0,0.06
0.064111,0.069108,-0.995547,-0.07165,0.073594,-0.994711,-0.004,0.072,0.087,0.007,-0.017,0.01,0,0.38,0.18,0,0.61,0,0,0.5,1.2,0,0.1,0.07,0.3,0.3,0.04,0
-0.000932,0.062324,-0.998056,-0.1612,0.064203,-0.984831,-0.082,0.064,0.05,0.136,0.017,0.45,0,1.21,0.08,0,0.15,0,0,0,0.24,0,0.21,0.09,0,0.42,0.45,0.07
0.129513,-0.066578,-0.98934,-0.011243,-0.099406,-0.994983,0.06,-0.083,-0.12,-0.091,0.082,0.21,0.08,0,0.62,0,0,0,0,0,0,0.02,0.64,0,0,0.23,0.35,0
-0.003761,-0.010371,-0.999939,-0.15829,-0.045538,-0.986342,-0.081,-0.028,-0.075,0.012,0.063,0.12,0.32,0,0,0,0.59,0,0,0,0,0,0.47,0,0,0.54,0.16,0
0.193183,-0.109919,-0.974986,0.002434,-0.146991,-0.989135,0.099,-0.13,-0.167,-0.131,0.062,0,0,0,0.07,0,0,0,0,0,0,0,0.71,0.41,0.27,0,0.8,0
-0.006055,0.207443,-0.978228,-0.037984,0.190862,-0.980882,-0.022,0.201,0.147,0.078,-0.001,0,0,0.99,0,0,0.55,0,0,0,1.03,0,0.4,0,0,0.06,0,0.05
0.015153,0.167925,-0.985683,-0.051094,0.188965,-0.980654,-0.018,0.18,0.143,0.11,-0.018,0.17,0.2,0.62,0,0.3,0.44,0,0,0,2.02,0.26,0.9,0,0.42,0,0.89,0
0.100667,-0.037896,-0.994198,-0.001178,-0.057331,-0.998354,0.05,-0.048,-0.126,-0.094,0.056,0,0,0,0,0,0.32,0.03,0,0,0,0.09,0.83,0.05,0.06,0.07,0.38,0.01
0.038646,0.062279,-0.99731,-0.119555,0.06656,-0.990594,-0.041,0.065,0.051,0.094,-0.02,0,0,1.32,0.01,0.12,0.56,0.33,0,0,0.99,0,0.04,0,0,0.44,0,0.01
0.050955,0.046206,-0.997631,-0.097957,0.055161,-0.993661,-0.024,0.051,0.035,0.05,-0.027,0.2,0,0.85,0.33,0,0.4,0,0,0,0.12,0,0.41,0,0,0.01,0,0
0.003521,0.211348,-0.977405,-0.016399,0.205973,-0.97842,-0.007,0.21,0.143,0.06,0.008,0,0,0.43,0,0.78,0.94,0,0,1.36,2.52,0,0.2,0,0.78,0.12,0.07,0
0.23433,-0.049145,-0.970914,0.012082,-0.07241,-0.997302,0.125,-0.062,-0.085,-0.03,-0.022,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0.03,0.53,0.72,0.35
0.080521,-0.014656,-0.996645,-0.1003,-0.009789,-0.994909,-0.01,-0.012,-0.126,0.063,-0.015,0.23,0.13,0,0,0,0.09,0.12,0,0,0,0.01,0.05,0.14,0,0.27,0.08,0.17
-0.010345,0.23431,-0.972107,-0.160536,0.214474,-0.963446,-0.088,0.228,0.156,0.064,-0.01,0.6,0.03,1.47,0.02,0,0.19,0.07,0,0,0.73,0,0.37,0,0,0.15,0.16,0.11
0.050754,0.038948,-0.997951,-0.109532,0.045633,-0.992935,-0.03,0.042,0.007,0.069,-0.019,0.07,0.17,0.95,0,0,0,0,0,0,0.27,0,0.18,0.03,0,0.39,0.01,0.21
-0.062061,0.212769,-0.97513,-0.109279,0.199067,-0.973874,-0.088,0.208,0.153,0.081,0.001,0.03,0,1.16,0,0,0.33,0,0,0,0.56,0,0.35,0,0,0.07,0.19,0
0.038824,0.063117,-0.997251,-0.111891,0.064677,-0.991613,-0.037,0.064,0.07,0.074,0.007,0,0,0.77,0,0.59,1.36,0.45,0,0.23,1.56,0,0,0.19,0,0.36,0.03,0
0.018387,0.011402,-0.999766,-0.147289,0.018546,-0.98892,-0.065,0.015,-0.046,0.129,-0.013,0.27,0.25,0.64,0,0,0.53,0.11,0,0,0,0.42,0.33,0,0,0.37,0.11,0.32
-0.002476,0.190927,-0.981601,-0.0729,0.166307,-0.983376,-0.038,0.18,0.133,0.092,0.016,0.09,0,1.05,0,0,0.75,0,0,0,1.81,0,0.22,0,0,0.29,0.11,0.39
0.0547,0.143014,-0.988208,-0.017975,0.185275,-0.982522,0.019,0.165,0.113,0.037,0.019,0.03,0,0.39,0,0,0.26,0,0,0,0.64,0.2,0.88,0,0,0,0.64,0
0.036012,0.073402,-0.996652,-0.105265,0.082286,-0.991034,-0.035,0.078,-0.034,-0.021,-0.025,0,0,0.02,0.06,0,0,0,0,0,0,0.42,1.12,0.02,0.25,0.03,0.77,0
0.069645,-0.017997,-0.997409,-0.09772,-0.054252,-0.993734,-0.014,-0.036,-0.122,-0.118,0.044,0,0,0,0,0,0.08,0,0,0,0,0.02,0.76,0.01,0,0,0.78,0
0.082697,0.00647,-0.996554,-0.100674,0.014721,-0.994811,-0.009,0.011,-0.103,0.065,-0.028,0.16,0.06,0.06,0,0,0.2,0.01,0,0,0,0.16,0.09,0.21,0,0.39,0.09,0.45
0.012897,0.228015,-0.973572,-0.11234,0.239986,-0.964254,-0.051,0.237,0.143,0.108,-0.002,0.52,0.25,1.21,0,0,0.16,0.06,0,0,0.62,0.05,0.34,0,0,0.2,0.88,0.94
0.081469,-0.005172,-0.996662,-0.092858,0.00051,-0.995679,-0.006,-0.002,-0.091,0.055,-0.016,0.01,0.02,0.21,0,0,0,0,0,0,0,0.42,0.29,0,0,0.05,0,0
0.049412,0.037882,-0.99806,-0.111827,0.044533,-0.992729,-0.031,0.041,0.006,0.072,-0.019,0.09,0,1.19,0,0,0,0.05,0,0,0,0,0.23,0,0,0.27,0.15,0.03
0.08706,-0.013995,-0.996105,-0.087863,-0.008807,-0.996094,0,-0.011,-0.1,0.049,-0.017,0.06,0.05,0.01,0,0,0,0,0,0,0,0.13,0.01,0.17,0,0.03,0,0
0.023441,0.199059,-0.979707,-0.057996,0.192714,-0.97954,-0.018,0.197,0.101,0.11,0.023,0.48,0.2,1.46,0,0,0.55,0,0,0,0.28,0.13,0.02,0,0,1.01,0.89,0.66
0.019126,0.034363,-0.999226,-0.154985,-0.012368,-0.987839,-0.068,0.011,-0.082,0.028,-0.026,0.07,0.05,0,0.33,0,0.77,0.09,0,0,0,0,0.29,0,0.16,0.04,0.63,0
-0.016011,0.019959,-0.999673,-0.162883,-0.027553,-0.986261,-0.09,-0.004,-0.054,0.025,0.096,0,0.02,0,0,0,0.54,0,0,0,0,0,0.11,0,0,0.06,0,0.11
0.061783,0.116882,-0.991222,-0.116781,0.118557,-0.986056,-0.028,0.119,0.116,0.087,-0.024,0,0.01,0.51,0,2.06,1.26,0.41,1.01,1.92,2.12,0,0,0,0.71,0.18,0,0
-0.028252,0.235089,-0.971563,-0.171574,0.161641,-0.97182,-0.102,0.201,0.122,0.108,0.017,0.14,0,1.11,0,0,0.83,0,0,0,0.79,0,0.14,0,0,1.44,1.89,0.44
0.089891,-0.026283,-0.995605,-0.117133,-0.073664,-0.990381,-0.014,-0.05,-0.139,-0.154,0.044,0.07,0,0,0.2,0,0,0.03,0,0,0,0,0.52,0.08,0.19,0,1.04,0.02
0.010491,-0.044476,-0.998955,-0.164326,-0.060829,-0.984529,-0.077,-0.053,-0.134,0.028,-0.01,0,0,0,0,0,0.39,0,0,0,0,0,0.57,0.06,0,0.43,0.82,0.06
0.052474,0.22403,-0.973168,-0.042242,0.237991,-0.970348,0.005,0.233,0.141,0.112,-0.002,0.47,0.16,1.17,0,0,0.27,0.04,0,0,0.56,0.2,0.45,0,0,0.37,0.9,0.73
0.038275,0.06315,-0.99727,-0.112625,0.064929,-0.991514,-0.037,0.064,0.07,0.073,0.008,0,0,0.88,0,0.6,1.42,0.54,0,0.23,1.54,0,0,0.28,0,0.32,0.05,0
-0.000633,0.229341,-0.973346,-0.111554,0.233607,-0.965911,-0.058,0.234,0.144,0.1,0.013,0.57,0.15,1.04,0,0,0.3,0.02,0,0,0.49,0.29,0.54,0,0,0.26,1.03,0.89
0.046041,0.08003,-0.995729,-0.118031,0.079077,-0.989856,-0.036,0.08,0.064,0.092,0,0,0,0.35,0,1.55,1.4,0.59,0.5,1.37,1.75,0,0,0,0.15,0.02,0,0
0.05424,0.046825,-0.997429,-0.099155,0.053319,-0.993643,-0.023,0.05,0.029,0.043,-0.014,0,0,0.89,0.22,0,0.16,0,0,0,0.11,0,0.39,0,0,0,0,0
0.034552,0.28061,-0.9592,-0.062813,0.269224,-0.961027,-0.015,0.279,0.183,0.1,-0.002,0.8,0.51,0.93,0,0.21,0.62,0,0,0,1.51,0,0.25,0,0,0.05,0.82,0.91
-0.014409,0.049597,-0.998665,-0.178665,0.053282,-0.982466,-0.097,0.052,0.039,0.15,0.043,0,0.02,0.85,0.16,0.26,0.86,0,0,0,0.07,0.35,0.59,0,0.46,0.09,0.06,0
0.053796,0.040711,-0.997722,-0.101007,0.02882,-0.994468,-0.024,0.035,-0.035,-0.021,-0.034,0,0,0,0.14,0,0.04,0,0,0,0,0.18,0.35,0,0.07,0,0.76,0
0.099696,0.081211,-0.991698,-0.075996,0.084746,-0.9935,0.012,0.083,0.068,0.029,-0.01,0,0,0.12,0,2.35,2.39,0.31,0.93,2.51,1.94,0,0,0.02,0.12,1.61,0,0
0.112347,0.123231,-0.985998,-0.010403,0.197761,-0.980195,0.052,0.162,0.129,0.056,0.016,0.39,0.17,0.68,0,0,0.22,0,0,0,0.62,0.13,0.85,0,0,0,0.27,0
0.059671,0.079761,-0.995026,-0.115566,0.088007,-0.989393,-0.028,0.084,0.018,0.082,-0.04,0.24,0.16,1.34,0,0,0,0,0,0,0.08,0.04,0.09,0,0,0.15,0,1.17
0.033568,0.048354,-0.998266,-0.142076,0.049877,-0.988598,-0.055,0.049,-0.008,0.106,-0.009,0,0,1.2,0,0,0.2,0.36,0,0,0.55,0,0.48,0.01,0,0.11,0.09,1.2
0.031511,0.0799,-0.996305,-0.13517,0.085323,-0.987142,-0.052,0.083,0.079,0.115,-0.059,0.03,0.14,0.88,0,1.09,1.15,0.31,0.12,0.59,1.89,0.03,0,0.3,0,0.15,0,0.05
0.01612,0.253294,-0.967255,-0.081254,0.232095,-0.969293,-0.034,0.246,0.175,0.077,0.009,0,0,0.47,0,1.02,1.29,0,0,1.4,2.2,0,0.3,0.26,0.78,0.02,0.19,0.93
0.126684,-0.035461,-0.991309,-0.004682,-0.053408,-0.998562,0.061,-0.045,-0.118,-0.109,0.053,0.04,0,0.01,0,0,0.27,0,0,0,0,0.1,0.83,0.01,0,0.46,0.45,0.24
0.108177,-0.050153,-0.992866,-0.007112,-0.074493,-0.997196,0.051,-0.063,-0.128,-0.096,0.054,0.02,0,0,0,0,0.19,0.01,0,0,0,0.13,0.85,0.1,0,0.08,0.34,0.16
-0.008019,-0.034842,-0.999361,-0.189743,-0.051166,-0.9805,-0.1,-0.043,-0.116,0.06,-0.009,0,0,0,0,0,0.45,0,0,0,0,0,0.61,0,0,0.12,0.67,0.01
0.053234,-0.079216,-0.995435,-0.142081,-0.098178,-0.984974,-0.045,-0.089,-0.17,-0.017,0.009,0,0,0,0,0,0.21,0,0,0,0,0.14,0.85,0,0.07,0.04,1.01,0.17
0.049386,0.041873,-0.997902,-0.098183,0.050988,-0.993861,-0.024,0.047,0.034,0.052,-0.035,0.18,0,1.01,0.16,0,0.06,0,0,0,0.22,0.13,0.29,0,0,0.04,0.07,0
0.044332,0.058377,-0.99731,-0.0915,0.08097,-0.992508,-0.024,0.07,-0.032,-0.015,-0.028,0.07,0.16,0.29,0,0,0.01,0,0,0,0,0.24,1.43,0.09,0.03,0,0.84,0.12
-0.011766,-0.001045,-0.99993,-0.162502,-0.042746,-0.985782,-0.088,-0.022,-0.074,0.018,0.082,0,0.16,0,0,0,0.61,0,0,0,0,0,0.39,0,0,0.66,0.06,0
0.068268,0.217564,-0.973656,-0.06348,0.171852,-0.983075,0.002,0.196,0.091,0.126,0.033,0.29,0.08,1.39,0,0,0.89,0,0,0,0.05,0.12,0.37,0,0.06,0.08,0.79,0.97
0.129755,0.283059,-0.950285,-0.107281,0.289888,-0.951029,0.012,0.293,0.125,0.064,0.011,0.44,0.01,0.87,0,0,0.09,0,0,0,0.64,0.28,0.71,0,0,0,0.48,1.31
0.040343,0.07951,-0.996017,-0.119789,0.079526,-0.989609,-0.04,0.08,0.072,0.079,-0.009,0,0,1.23,0,0.29,0.77,0.57,0,0,1.44,0,0.04,0.11,0,0.21,0,0
-0.000394,0.276489,-0.961017,-0.120887,0.269854,-0.955283,-0.063,0.278,0.158,0.105,-0.01,0.23,0.29,1.17,0,0.65,0.69,0,0,0.21,1.84,0.17,0.15,0.03,0,0.19,0.34,1.53
-0.030218,0.036236,-0.998886,-0.177591,0.032711,-0.983561,-0.104,0.035,0.044,0.157,0.086,0,0.09,0.26,0.35,0,0.2,0,0,0,0.35,0.23,0.14,0.08,0.45,0.12,0.42,0
0.050991,0.030847,-0.998223,-0.095995,0.038579,-0.994634,-0.023,0.035,0.029,0.046,-0.014,0,0,0.75,0.53,0,0,0,0,0,0.05,0,0.1,0,0,0.03,0,0
0.028653,0.123286,-0.991957,-0.10424,0.099488,-0.989564,-0.038,0.112,0.014,0.015,0.018,0.29,0.18,0,0,0,0.01,0,0,0,0,0.25,0.09,0.03,0,0.59,0.04,0.45
0.03922,0.069286,-0.996826,-0.118755,0.074726,-0.990108,-0.04,0.072,0.053,0.093,-0.018,0,0,1.55,0,0.14,0.9,0.28,0,0,1.07,0,0,0,0,1.4,0.81,0.17
0.000466,0.057714,-0.998333,-0.177113,0.066456,-0.981944,-0.089,0.063,-0.008,0.149,0.023,0.2,0,1.15,0,0.32,0.85,0.17,0,0,0,0.23,0,0.45,0.23,0.36,0,0.81
0.017275,0.17024,-0.985251,-0.048454,0.152726,-0.98708,-0.016,0.162,0.13,0.067,-0.007,0.37,0.15,0.92,0,0,0,0,0,0,0.56,0.54,0.78,0,0,0,0.35,0
