"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r","State"
0.524597,-0.128262,-0.841633,0.369548,-0.139891,-0.918621,0.47,-0.151,-0.302,-0.57,-0.097,0,0,0,0,0,0,0,0.13,0.06,0,0,0.46,0,0,0.02,1.1,0.34,-100
0.113888,-0.022545,-0.993238,-0.029255,-0.026016,-0.999233,0.042,-0.024,-0.136,-0.032,0.006,0.22,0,1.7,0.22,0,1.53,0.77,0,0,0,0,0,0.06,0.07,0,0.2,0.19,100
0.080338,-0.024259,-0.996472,-0.099318,-0.019426,-0.994866,-0.01,-0.022,-0.131,0.063,-0.017,0.18,0.02,0.03,0,0,0.43,0.23,0,0,0,0.24,0.02,0.07,0,0.09,0,0.02,100
0.588825,0.041093,-0.807215,0.450006,-0.063569,-0.89076,0.549,-0.013,-0.169,-0.474,0.225,0,0,0,0,0,0,0,0.76,0,0,0.18,1.02,0.4,0,0.1,0.62,0.01,-100
0.102272,-0.074217,-0.991984,-0.07981,-0.048689,-0.99562,0.011,-0.062,-0.17,0.004,-0.092,0.02,0,3.58,0,0.58,2.42,0.29,0.42,0,0,1.15,0.45,0.76,0,1.79,0.2,0,-100
0.3939,0.050915,-0.917742,0.252685,0.052041,-0.966148,0.331,0.055,-0.185,-0.389,0.171,0.58,0.98,0,0,2.57,2.92,0,1.31,0.89,0.13,0,0,0.12,0,4.89,3.7,0,-100
0.020767,-0.028318,-0.999383,-0.145627,-0.100016,-0.984271,-0.063,-0.065,-0.182,-0.025,0.113,0.03,0,0,0,0,0.69,0,0,0,0,0,0,0.08,0.19,0.03,0.14,0.24,100
0.081306,0.193673,-0.977691,-0.060063,0.15737,-0.985711,0.011,0.177,0.034,-0.103,0.069,0.03,0.77,0,0,0,0.06,0,0,0,0,0,0.02,0,0.12,0.64,0,0,100
-0.102011,-0.09588,-0.990152,-0.305044,-0.075478,-0.949342,-0.207,-0.088,-0.349,0.281,0.062,0.52,0,0.55,0,0.1,2.97,0.36,1.17,0.34,0.25,0.8,3.5,1.08,1.48,0,0.51,0,-100
0.062376,0.049121,-0.996843,-0.087606,0.025896,-0.995819,-0.013,0.038,-0.037,0.005,0.204,0,0,0,0,0,0.57,0.4,0,0,0,0.49,0.41,0,0,0.97,0.37,0,100
0.080779,-0.009355,-0.996688,-0.102425,-0.004491,-0.994731,-0.011,-0.007,-0.127,0.064,-0.017,0.2,0,0.22,0,0,0.07,0.04,0,0,0,0.02,0.2,0.05,0,0.25,0,0.45,100
0.106633,0.510785,-0.853069,-0.073688,0.213488,-0.974163,0.018,0.377,0.413,0.14,-0.132,0.05,0.69,0.49,0,0.34,0.73,1.43,0,0,0,0,0.42,0,0.5,0.28,0,0.77,-100
0.1031,-0.036254,-0.99401,0.000911,-0.058107,-0.99831,0.052,-0.047,-0.124,-0.1,0.05,0.01,0,0,0,0,0.13,0,0,0,0,0,0.55,0.1,0,0.09,0.27,0,100
0.043285,-0.013167,-0.998976,-0.173468,-0.055434,-0.983278,-0.066,-0.035,-0.16,0.037,-0.004,0.26,0.06,0.1,0,0,0.25,0.01,0,0,0,0.06,0.04,0.14,0,0.14,0.05,0,100
0.065337,-0.063005,-0.995872,-0.107973,-0.088006,-0.990251,-0.021,-0.076,-0.169,-0.024,0.071,0.21,0.09,0,0,0,1.28,0,0,0,0,0,0,0.13,0.46,0.33,0.34,0.37,100
0.098242,-0.001841,-0.995161,-0.050714,-0.030354,-0.998252,0.024,-0.016,-0.115,-0.025,0.187,0.29,0,0.52,0,0,1.58,0.45,0,0,0,0,0.08,0,0.11,0,0,0,100
0.106569,-0.018828,-0.994127,-0.050207,-0.025914,-0.998403,0.028,-0.022,-0.115,-0.029,0.051,0.26,0,0,0,0,0.55,0.38,0,0,0,0,0,0.05,0,0.31,0,0,100
0.176964,0.064956,-0.982072,-0.000959,0.028084,-0.999605,0.089,0.047,-0.133,-0.087,0.054,0.1,0,0.21,0,0,0.68,0.14,0,0,0,0.04,0.84,0,0,0.1,0.24,1.18,100
0.00136,-0.017797,-0.999841,-0.114471,-0.011916,-0.993355,-0.057,-0.015,-0.066,0.035,-0.02,0,0,0.05,0,0,0.05,0,0,0,0,0.08,1.24,0.8,0,0.72,1.36,0.5,100
0.169127,0.160815,-0.972386,-0.014399,0.189321,-0.98181,0.079,0.177,-0.039,0.006,-0.019,0,0,3.69,0,0.71,2.05,0.71,1.03,0,0,1.76,3.27,0.02,0,1.63,0.88,0.14,-100
0.426738,0.166809,-0.888859,0.327475,0.111438,-0.938265,0.391,0.151,0,-0.527,0.058,0,0,0,0,1.7,2,0.71,1.56,0.06,0.09,0.38,0.6,0,0,1.09,0,0,-100
0.011994,0.230614,-0.972971,-0.110614,0.231541,-0.966516,-0.051,0.234,0.183,0.015,0.022,0,0.03,0.11,0,0,0.12,0.01,0,0,0,0,0.55,0,0,0.26,0.28,0.46,100
-0.023529,0.001717,-0.999722,-0.196043,0.047698,-0.979435,-0.11,0.025,-0.038,0.074,-0.209,0,0,0.01,0,0,0,0,0,0,0,0,0.56,0,0.1,0.94,0,0,-100
