"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.014064,0.237173,-0.971366,-0.04635,0.178902,-0.982774,-0.017,0.21,0.147,0.078,-0.001,0,0,0.97,0,0,0.49,0,0,0,1,0,0.42,0,0,0.1,0.07,0.13
0.147902,0.015937,-0.988874,-0.009946,0.018556,-0.999778,0.069,0.017,-0.094,-0.07,0.03,0.19,0,0,0,0,0.77,0.23,0,0,0,0.18,0.17,0.33,0,0.29,0.1,0.36
0.085821,-0.007784,-0.99628,-0.095518,-0.001621,-0.995426,-0.005,-0.005,-0.116,0.058,-0.019,0.06,0,0.28,0,0,0.14,0.3,0,0,0,0,0,0.01,0,0.24,0.07,0.18
0.00179,0.014694,-0.99989,-0.156293,0.016079,-0.98758,-0.078,0.015,-0.022,0.133,0.052,0.23,0,0.88,0.01,0,0.09,0,0,0,0,0.11,0,0.01,0,0.96,1.15,0
0.002051,0.163628,-0.98652,-0.022329,0.179266,-0.983547,-0.01,0.172,0.16,0.082,-0.003,0.05,0.01,1.37,0,0,0.13,0,0,0,0.71,0,0.42,0,0,0.04,0.03,0
0.0948,-0.036634,-0.994822,-0.006629,-0.063509,-0.997959,0.044,-0.05,-0.129,-0.087,0.055,0.06,0.03,0,0,0,0.33,0,0,0,0,0.29,0.68,0,0.02,0.13,0.41,0.03
0.120792,-0.036825,-0.991995,-0.090456,-0.062303,-0.99395,0.015,-0.05,-0.133,0.038,-0.005,0,0,0,0.33,0,0.49,0,0,0,0,0.03,0.44,0,0.41,0.31,0.97,0
0.042657,0.21329,-0.976057,-0.099158,0.200433,-0.974677,-0.029,0.209,0.168,0.012,0.022,0,0.01,0.26,0,0,0.02,0,0,0,0,0,0.54,0,0,0.28,0.22,0.65
0.083655,-0.000721,-0.996495,-0.100115,0.004861,-0.994964,-0.008,0.002,-0.112,0.061,-0.016,0.13,0,0.13,0,0,0.48,0.11,0,0,0,0,0.06,0.12,0,0.02,0,0.39
0.084089,-0.006064,-0.99644,-0.096595,-9.8e-05,-0.995324,-0.006,-0.003,-0.113,0.058,-0.019,0.07,0,0.08,0,0,0.48,0.03,0,0,0,0.01,0.17,0.02,0,0.02,0.03,0.16
0.018321,0.065527,-0.997683,-0.176528,0.017958,-0.984132,-0.08,0.042,-0.04,0.01,-0.012,0,0,0.01,0,0,0.02,0,0,0,0,0,0.36,0.29,0,0.3,1.11,0.18
0.05258,0.059765,-0.996827,-0.098693,0.062326,-0.993164,-0.023,0.061,0.046,0.06,-0.021,0,0,0.77,0,0.03,0.37,0,0,0,1.61,0,0.49,0.2,0,0.2,0.14,0.19
-0.018137,0.213336,-0.976811,-0.086584,0.174639,-0.980818,-0.053,0.196,0.105,0.111,0.018,0.35,0.01,1.34,0,0.02,0.7,0,0,0,0.2,0.1,0.1,0,0,1.03,1.25,0.59
0.023746,0.053098,-0.998307,-0.108908,0.060237,-0.992225,-0.043,0.057,0.079,0.068,-0.014,0,0,0.39,0.89,0,0,0,0,0,0.53,0,0.53,0,0,0,0.05,0
0.055589,0.026498,-0.998102,-0.172459,-0.003394,-0.985011,-0.059,0.012,-0.127,0.003,0.011,0.71,0,0.02,0,0,0.59,0,0,0,0,0,0,0,0.08,0.32,0.41,0
0.012238,-0.001246,-0.999924,-0.15358,-0.027586,-0.987751,-0.071,-0.015,-0.059,0.007,0.058,0.09,0.28,0,0.02,0,0.29,0,0,0,0,0,0.3,0.17,0.07,0.05,0.06,0.05
0.048743,0.04437,-0.997825,-0.100479,0.052803,-0.993537,-0.026,0.049,0.037,0.052,-0.025,0,0,0.67,0.24,0,0,0,0,0,0.12,0,0.3,0,0,0.07,0,0
0.114941,-0.054018,-0.991903,-0.006139,-0.082429,-0.996578,0.055,-0.069,-0.128,-0.102,0.054,0,0,0,0,0,0.43,0.05,0,0,0,0.07,0.72,0.05,0,0.11,0.26,0.11
0.091206,-0.034642,-0.995229,-0.008697,-0.067201,-0.997702,0.041,-0.051,-0.127,-0.087,0.055,0.07,0.02,0.03,0,0,0.3,0,0,0,0,0.17,0.48,0,0.01,0.13,0.37,0
