"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU14_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r","AU45_r"
0.074639,-0.131764,-0.988467,-0.12669,-0.100699,-0.986818,-0.026,-0.117,-0.386,0.034,0.047,0,0,0,0,0,2.25,0.02,0,0,0,0,1.52,0,0.99,0.05,0.32,0.01
0.084448,-0.21799,-0.972291,-0.090989,-0.269255,-0.958761,-0.003,-0.247,-0.434,-0.032,-0.013,0.55,0.02,0,0,0,1.16,0.08,0,0,0,0,1.47,0.02,0,0.19,0.25,0
0.041572,0.018441,-0.998965,-0.084181,0.00896,-0.99641,-0.021,0.014,-0.087,0.001,-0.026,0.13,0,0.15,0,0,0.14,0,0,0,0,0.32,1.81,0.57,0.2,0.03,1.26,0.21
0.090385,-0.128596,-0.98757,-0.085854,-0.133087,-0.987379,0.002,-0.132,-0.394,-0.002,0.066,0,0,0,0.01,0,2.55,0,0,0,0,0.01,1.24,0.51,1.03,0,0.23,0
0.120235,-0.026554,-0.99239,-0.003495,-0.073851,-0.997263,0.059,-0.05,-0.349,-0.127,0.065,0,0,0,0,0.5,1.9,0,0,0.19,0.7,0.05,0,0.07,0,1.33,0.79,1.47
0.085089,0.002388,-0.99637,-0.098457,0.008569,-0.995104,-0.007,0.006,-0.11,0.059,-0.018,0.05,0.01,0.25,0,0,0.35,0.14,0,0,0,0.02,0.03,0.03,0,0.16,0.13,0.67
0.014318,-0.040356,-0.999083,-0.175427,-0.065002,-0.982344,-0.081,-0.053,-0.141,0.039,0.01,0,0,0,0,0,1.1,0,0,0,0,0,0.73,0,0.04,0.25,1.09,0.86
0.065783,-0.123809,-0.990123,-0.086351,-0.107275,-0.990472,-0.01,-0.116,-0.335,0.011,0.076,0.21,0,0,0,0,1.95,0,0,0,0,0,0.74,0,0,1.11,0.34,0.12
0.049374,0.07089,-0.996261,-0.11249,0.00029,-0.993653,-0.032,0.036,-0.009,-0.068,0.189,0,0,0,0.03,0,0.59,0.13,0,0,0,0,0,0,0,0,0,0
0.010754,-0.264983,-0.964193,-0.113938,-0.293071,-0.949277,-0.054,-0.284,-0.516,0.029,0.037,0.05,0,0,0,0.03,2.23,0,0,0.3,0.04,0,0.25,0.07,0.93,0.83,0.05,0
0.557974,-0.02827,-0.829377,0.361028,-0.037013,-0.93182,0.481,-0.037,-0.15,-0.439,-0.007,0,0,0.86,0,0,0.13,0,1.23,0,0,0.43,0,0,0,0.5,1.42,0.19
0.016837,0.228672,-0.973358,-0.116985,0.21994,-0.968474,-0.052,0.227,0.181,0.015,0.02,0,0.02,0.26,0,0,0.11,0.01,0,0,0,0,0.56,0,0,0.18,0.19,0.53
0.08305,0.007108,-0.99652,-0.055459,-0.022715,-0.998203,0.014,-0.008,-0.114,-0.018,0.209,0.85,0,0,0,0,0.99,0.15,0,0,0,0.24,0.49,1.74,0.62,0,0.44,0.17
0.035134,-0.102937,-0.994067,-0.184627,-0.129011,-0.974304,-0.076,-0.117,-0.334,0.108,-0.027,0,0,0,0.09,0,2.01,0.03,0,0,0,0,1.23,0,1.01,0.1,0.34,0.09
0.088901,-0.017737,-0.995883,-0.095334,-0.012431,-0.995368,-0.003,-0.015,-0.142,0.058,-0.024,0.27,0,0.29,0,0,0.2,0.1,0,0,0,0.15,0.08,0,0,0.08,0,0.67
0.089988,0.002372,-0.99594,-0.03323,-0.021442,-0.999218,0.028,-0.01,-0.133,-0.036,0.208,0.91,0,0,0,0,0.74,0,0,0,0.92,1.56,3.71,2.42,1.89,0,2.28,0.13
-0.067856,-0.140025,-0.98782,-0.253814,-0.104425,-0.9616,-0.164,-0.125,-0.38,0.164,-0.072,0,0,0,0,0,0.83,0.22,0,0,0,0.02,0.23,0,0,0.2,0.03,0.83
0.117912,0.108331,-0.987097,-0.1031,0.0805,-0.991408,0.007,0.095,-0.128,0.1,0.02,1.32,2.18,0.71,0,2.28,2.67,0,1.52,0.58,0.01,0,0.03,0.11,0,3.74,2.96,1.44
0.080404,-0.022646,-0.996505,-0.095941,-0.017584,-0.995232,-0.008,-0.02,-0.127,0.06,-0.017,0.21,0.01,0.13,0,0,0.24,0.03,0,0,0,0.11,0.12,0.08,0,0.19,0.11,0
0.136894,0.041333,-0.989723,-0.021623,0.049846,-0.998523,0.058,0.046,-0.043,-0.051,-0.016,0.25,0.51,0.26,0,0,0.95,0.12,0,0,0,0.04,0.53,0.24,0.14,0,0.12,0.03
-0.014613,-0.026008,-0.999555,-0.166681,-0.049412,-0.984772,-0.091,-0.038,-0.08,-0.027,-0.025,0.03,0,0,0.09,0,0,0,0,0,0,0.12,1.12,0,0.01,0.25,0.9,0
0.080283,-0.0224,-0.99652,-0.097945,-0.017641,-0.995035,-0.009,-0.02,-0.125,0.061,-0.016,0.14,0.01,0.06,0,0,0.12,0.15,0,0,0,0.24,0.17,0.1,0,0.11,0.06,0
0.097054,-0.128981,-0.986886,-0.129916,-0.16705,-0.977351,-0.017,-0.15,-0.321,0.077,-0.001,0,0,0,0.3,0,1.57,0.02,0,0,0,0,0.98,0,1.35,0.37,0.41,0
0.081111,0.020274,-0.996499,-0.103754,0.02607,-0.994261,-0.011,0.023,-0.132,0.065,-0.019,0.49,0.01,0.49,0,0,0.85,0.16,0,0,0,0.47,0.02,0.07,0,0.25,0.07,2.29
0.092679,-0.146517,-0.984857,-0.032852,-0.16632,-0.985524,0.03,-0.157,-0.399,-0.051,0.079,0.42,0,0,0,0,1.39,0,0,0,0,0.13,1.74,0.14,0,0.03,0.5,0
