"gaze_0_x","gaze_0_y","gaze_0_z","gaze_1_x","gaze_1_y","gaze_1_z","gaze_angle_x","gaze_angle_y","pose_Tx","pose_Ty","pose_Tz","pose_Rx","pose_Ry","pose_Rz","AU01_r","AU02_r","AU04_r","AU05_r","AU06_r","AU07_r","AU09_r","AU10_r","AU12_r","AU15_r","AU17_r","AU20_r","AU23_r","AU25_r","AU26_r"
-0.463404,-0.364695,-0.807623,-0.600706,-0.311642,-0.736228,-0.603,-0.413,107.5,-48.3,946.5,-0.731,0.722,0.145,1.38,3.13,0.01,0.17,0,0,0,0,0,0.31,0.1,0.79,0,0.01,0.42
-0.464006,-0.367971,-0.805789,-0.601415,-0.313741,-0.734756,-0.605,-0.417,108.6,-48.9,952,-0.741,0.721,0.148,1.29,3.23,0.05,0.21,0,0,0,0,0,0.19,0.1,0.65,0,0.1,0.5
-0.458707,-0.376466,-0.804898,-0.59761,-0.323155,-0.73378,-0.602,-0.427,109,-49.2,951.7,-0.75,0.715,0.147,1.17,3.16,0.05,0.26,0,0,0.02,0,0,0.19,0.04,0.66,0,0.27,0.56
-0.455737,-0.37739,-0.806152,-0.59684,-0.32533,-0.733446,-0.6,-0.428,109.3,-49.2,950.8,-0.755,0.712,0.15,1.09,3.11,0.05,0.24,0,0,0.02,0,0,0.1,0,0.53,0,0.43,0.64
-0.455955,-0.377126,-0.806152,-0.596889,-0.325177,-0.733474,-0.6,-0.428,109.4,-49.3,951.5,-0.755,0.712,0.151,1.07,3.03,0.03,0.31,0,0,0.05,0,0,0.1,0.06,0.65,0,0.4,0.6
-0.450466,-0.387113,-0.804502,-0.591619,-0.336803,-0.732496,-0.596,-0.44,110.2,-49.6,949.9,-0.765,0.705,0.153,1.06,3.15,0.03,0.21,0,0,0.06,0,0,0.14,0.06,0.59,0,0.37,0.51
-0.447475,-0.387516,-0.805976,-0.590853,-0.337772,-0.732668,-0.594,-0.44,111.5,-50.1,952.6,-0.766,0.701,0.153,1.06,3.29,0.04,0.13,0,0,0.12,0,0,0.09,0.06,0.54,0,0.3,0.4
-0.447455,-0.388845,-0.805347,-0.591218,-0.339418,-0.731612,-0.594,-0.442,111.7,-50.1,952.1,-0.765,0.701,0.154,1.12,3.42,0.12,0.04,0,0.02,0.21,0,0,0.09,0,0.3,0,0.32,0.38
-0.438566,-0.389222,-0.810041,-0.583588,-0.343088,-0.736013,-0.584,-0.442,113.7,-50.7,960.3,-0.77,0.688,0.154,1.05,3.23,0.12,0.11,0,0.08,0.19,0,0,0.06,0,0.15,0,0.37,0.49
-0.427079,-0.39333,-0.814184,-0.573197,-0.351237,-0.740323,-0.572,-0.447,115.8,-51.2,958.4,-0.774,0.67,0.152,1.02,3.04,0.1,0.19,0,0.19,0.13,0,0,0.12,0,0,0,0.42,0.64
-0.426397,-0.391004,-0.81566,-0.572136,-0.350375,-0.741551,-0.57,-0.444,116.5,-51.4,959.7,-0.766,0.668,0.15,0.88,2.77,0,0.2,0,0.32,0,0,0,0.12,0,0,0,0.48,0.74
-0.41572,-0.403805,-0.814935,-0.561852,-0.364112,-0.742795,-0.56,-0.458,117.6,-51.6,950.5,-0.778,0.649,0.154,0.91,2.86,0,0.34,0,0.33,0,0,0,0.06,0,0,0,0.6,0.8
-0.400648,-0.418162,-0.815243,-0.550299,-0.379034,-0.743979,-0.548,-0.473,120,-52.1,942.4,-0.781,0.628,0.155,0.98,2.95,0.04,0.41,0,0.27,0,0,0,0,0,0,0,0.94,0.74
-0.370742,-0.435093,-0.820515,-0.521914,-0.404801,-0.750827,-0.517,-0.491,122.8,-52.9,924.3,-0.789,0.587,0.167,0.96,2.9,0.05,0.41,0,0.16,0,0,0,0,0,0,0,1.2,0.87
-0.371168,-0.413916,-0.831209,-0.523891,-0.387391,-0.758595,-0.513,-0.467,125.7,-54.2,929.9,-0.741,0.588,0.177,0.87,2.77,0.05,0.23,0,0.2,0,0,0,0,0.04,0,0,1.17,0.88
-0.377114,-0.402089,-0.834332,-0.532123,-0.375306,-0.758941,-0.519,-0.454,126,-54.2,926.8,-0.719,0.594,0.175,0.68,2.47,0.02,0.1,0,0.43,0.04,0,0,0,0.04,0,0,0.99,0.8
-0.350446,-0.401032,-0.846381,-0.504472,-0.382814,-0.773926,-0.486,-0.451,129.4,-55.1,916.4,-0.718,0.551,0.197,0.56,2.25,0.01,0.05,0,0.65,0.09,0,0,0,0.05,0,0,0.79,0.69
-0.347799,-0.39135,-0.851986,-0.503276,-0.374928,-0.778552,-0.481,-0.439,130.4,-55.4,918.4,-0.699,0.545,0.194,0.56,1.99,0.03,0.02,0,0.67,0.1,0,0,0.25,0.02,0.04,0,0.93,0.62
-0.336438,-0.38884,-0.857679,-0.493078,-0.376789,-0.784158,-0.468,-0.436,132.7,-56.1,920,-0.695,0.53,0.205,0.56,1.94,0.06,0,0,0.69,0.14,0,0,0.25,0.05,0.04,0,0.72,0.79
